Measurement	Count	Measurement_type	source_file
TSS_up_5kb	1949145	Tag count	TARGET-10-PANXDB-03A-01R
TSS_up_10kb	3724161	Tag count	TARGET-10-PANXDB-03A-01R
TES_down_1kb	690978	Tag count	TARGET-10-PANXDB-03A-01R
TES_down_5kb	2842587	Tag count	TARGET-10-PANXDB-03A-01R
TES_down_10kb	4860199	Tag count	TARGET-10-PANXDB-03A-01R
CDS_Exons	55617325	Tag count	TARGET-10-PAPAXK-09B-01R
5'UTR_Exons	3978902	Tag count	TARGET-10-PAPAXK-09B-01R
3'UTR_Exons	19482918	Tag count	TARGET-10-PAPAXK-09B-01R
Introns	122452731	Tag count	TARGET-10-PAPAXK-09B-01R
TSS_up_1kb	448820	Tag count	TARGET-10-PAPAXK-09B-01R
TSS_up_5kb	1423877	Tag count	TARGET-10-PAPAXK-09B-01R
TSS_up_10kb	2235473	Tag count	TARGET-10-PAPAXK-09B-01R
TES_down_1kb	1058036	Tag count	TARGET-10-PAPAXK-09B-01R
TES_down_5kb	3204237	Tag count	TARGET-10-PAPAXK-09B-01R
TES_down_10kb	4502351	Tag count	TARGET-10-PAPAXK-09B-01R
CDS_Exons	22222831	Tag count	TARGET-10-PAPCUR-09A-01R
5'UTR_Exons	1433770	Tag count	TARGET-10-PAPCUR-09A-01R
3'UTR_Exons	8625777	Tag count	TARGET-10-PAPCUR-09A-01R
Introns	3878038	Tag count	TARGET-10-PAPCUR-09A-01R
TSS_up_1kb	48291	Tag count	TARGET-10-PAPCUR-09A-01R
TSS_up_5kb	121596	Tag count	TARGET-10-PAPCUR-09A-01R
TSS_up_10kb	223933	Tag count	TARGET-10-PAPCUR-09A-01R
TES_down_1kb	99522	Tag count	TARGET-10-PAPCUR-09A-01R
TES_down_5kb	256115	Tag count	TARGET-10-PAPCUR-09A-01R
TES_down_10kb	361759	Tag count	TARGET-10-PAPCUR-09A-01R
CDS_Exons	52958252	Tag count	TARGET-10-PAPEWB-09A-01R
5'UTR_Exons	3645866	Tag count	TARGET-10-PAPEWB-09A-01R
3'UTR_Exons	27332978	Tag count	TARGET-10-PAPEWB-09A-01R
Introns	29457039	Tag count	TARGET-10-PAPEWB-09A-01R
TSS_up_1kb	197868	Tag count	TARGET-10-PAPEWB-09A-01R
TSS_up_5kb	554189	Tag count	TARGET-10-PAPEWB-09A-01R
TSS_up_10kb	914054	Tag count	TARGET-10-PAPEWB-09A-01R
